amount,merchant_category,device_type,geo_distance_km,account_age_days,hour_of_day,velocity_1h,velocity_24h,billing_shipping_mismatch,new_payment_method,cvv_retries,prior_chargebacks_90d,device_fp_identity_count,device_fp_txn_count
9202.98,jewellery,mobile_web,0.5,74.4,16,1,3,False,False,0,0,1,9
13065.01,travel,desktop_web,0.2,13.0,14,1,1,False,False,0,0,1,7
752.32,grocery,mobile_web,1767.5,153.1,8,0,0,True,False,0,0,1,8
1185.92,gaming,mobile_app,0.0,83.5,13,1,1,False,False,1,0,1,6
26699.73,jewellery,mobile_app,1.7,92.6,10,1,2,False,False,0,0,1,10
6285.86,travel,mobile_app,3.2,78.4,8,2,5,False,False,0,0,1,10
9696.73,electronics,pos,0.0,19.9,4,0,1,False,False,0,0,1,7
6117.47,home_goods,desktop_web,0.0,206.0,8,0,2,False,False,0,0,1,9
206.14,food_delivery,mobile_app,0.0,577.4,9,0,1,False,False,0,1,1,13
9830.97,electronics,mobile_app,2.2,393.1,11,0,0,False,False,0,0,1,8
1129.6,subscription,mobile_web,120.8,49.8,12,0,0,False,False,0,0,1,7
1594.62,grocery,desktop_web,1.4,249.5,12,0,1,False,False,0,0,1,8
612.55,food_delivery,mobile_app,1030.9,66.6,11,0,1,False,False,0,0,1,8
873.31,fashion,mobile_app,2.1,121.8,18,0,0,True,False,0,0,1,6
480.92,food_delivery,mobile_web,3.9,36.7,12,0,1,False,False,0,0,1,6
